id,ch0,ch1,ch2,ch3,accel0,accel1,accel2,timestamp
30, 10.16, -11.56, 5.60, -11.19, 0.000, 0.000, 0.000, 12:40:14.176
31, 5.63, 5.04, 12.20, 22.21, 0.000, 0.000, 0.000, 12:40:14.190
32, 0.91, 39.22, 10.53, 19.60, 0.000, 0.000, 0.000, 12:40:14.190
33, 11.84, 1.32, 5.06, -15.56, 0.000, 0.000, 0.000, 12:40:14.204
34, 8.76, -8.16, 7.74, 6.60, 0.000, 0.000, 0.000, 12:40:14.204
35, 1.38, 38.76, 10.42, 24.23, 0.000, 0.000, 0.000, 12:40:14.206
36, 11.14, 23.60, 4.65, -2.82, 0.000, 0.000, 0.000, 12:40:14.206
37, 10.82, -14.71, 5.55, -3.57, 0.000, 0.000, 0.000, 12:40:14.220
38, -2.55, 24.08, 11.66, 27.96, 0.000, 0.000, 0.000, 12:40:14.220
39, 4.31, 36.02, 12.60, 5.15, 0.000, 0.000, 0.000, 12:40:14.234
40, 13.43, -14.36, 5.80, -9.36, 0.000, 0.000, 0.000, 12:40:14.239
41, 4.07, 9.02, 5.81, 20.76, 0.000, 0.000, 0.000, 12:40:14.239
42, 6.16, 39.49, 11.45, 17.68, 0.000, 0.000, 0.000, 12:40:14.239
43, 12.11, 3.22, 5.89, -13.75, 0.000, 0.000, 0.000, 12:40:14.250
44, 3.02, -11.03, 4.81, 8.42, 0.000, 0.000, 0.000, 12:40:14.257
45, 0.90, 36.86, 13.11, 21.58, 0.000, 0.000, 0.000, 12:40:14.264
46, 9.38, 22.79, 9.37, -7.14, 0.000, 0.000, 0.000, 12:40:14.264
47, 13.08, -18.62, 6.07, -3.59, 0.000, 0.000, 0.000, 12:40:14.266
48, 0.16, 24.73, 11.38, 25.99, 0.000, 0.000, 0.000, 12:40:14.266
49, 5.84, 34.95, 8.79, 3.47, 0.000, 0.000, 0.000, 12:40:14.280
50, 12.04, -9.21, 4.37, -14.72, 0.000, 0.000, 0.000, 12:40:14.280
51, 5.17, 7.23, 10.31, 23.21, 0.000, 0.000, 0.000, 12:40:14.294
52, 5.12, 45.38, 9.83, 18.06, 0.000, 0.000, 0.000, 12:40:14.294
53, 12.79, -0.07, 6.85, -11.57, 0.000, 0.000, 0.000, 12:40:14.295
54, 7.45, -7.57, 10.34, 5.60, 0.000, 0.000, 0.000, 12:40:14.301
55, 4.72, 39.18, 11.90, 24.45, 0.000, 0.000, 0.000, 12:40:14.310
56, 11.30, 13.66, 6.19, -8.20, 0.000, 0.000, 0.000, 12:40:14.310
57, 11.37, -17.45, 9.22, -1.99, 0.000, 0.000, 0.000, 12:40:14.324
58, 1.19, 21.78, 13.02, 24.59, 0.000, 0.000, 0.000, 12:40:14.324
59, 7.29, 34.30, 8.87, 1.51, 0.000, 0.000, 0.000, 12:40:14.325
60, 10.63, -12.73, 3.85, -11.09, 0.000, 0.000, 0.000, 12:40:14.325
61, 8.46, 4.11, 11.89, 20.37, 0.000, 0.000, 0.000, 12:40:14.354
62, 3.99, 36.93, 10.36, 10.78, 0.000, 0.000, 0.000, 12:40:14.354
63, 14.70, 3.08, 9.87, -12.13, 0.000, 0.000, 0.000, 12:40:14.354
64, 8.47, -12.10, 12.47, 10.31, 0.000, 0.000, 0.000, 12:40:14.354
65, -2.89, 39.08, 11.41, 23.69, 0.000, 0.000, 0.000, 12:40:14.356
66, 8.45, 20.05, 5.69, -6.75, 0.000, 0.000, 0.000, 12:40:14.356
67, 10.59, -11.73, 9.26, -5.89, 0.000, 0.000, 0.000, 12:40:14.370
68, 6.77, 22.01, 8.18, 26.64, 0.000, 0.000, 0.000, 12:40:14.370
69, 9.27, 33.01, 6.83, 2.59, 0.000, 0.000, 0.000, 12:40:14.384
70, 17.07, -10.85, 4.47, -9.35, 0.000, 0.000, 0.000, 12:40:14.384
71, 8.12, 4.73, 10.38, 16.85, 0.000, 0.000, 0.000, 12:40:14.386
72, 1.95, 37.46, 6.71, 17.65, 0.000, 0.000, 0.000, 12:40:14.386
73, 11.48, 1.73, -0.82, -12.14, 0.000, 0.000, 0.000, 12:40:14.400
74, 6.77, -13.12, 6.31, 4.38, 0.000, 0.000, 0.000, 12:40:14.400
75, 2.10, 32.32, 13.56, 25.54, 0.000, 0.000, 0.000, 12:40:14.414
76, 11.05, 18.89, 6.28, -6.64, 0.000, 0.000, 0.000, 12:40:14.427
77, 9.82, -17.94, 7.80, -5.60, 0.000, 0.000, 0.000, 12:40:14.427
78, 0.24, 23.30, 11.29, 24.92, 0.000, 0.000, 0.000, 12:40:14.427
79, 9.76, 35.37, 9.33, 4.03, 0.000, 0.000, 0.000, 12:40:14.430
80, 14.66, -11.98, 5.06, -11.69, 0.000, 0.000, 0.000, 12:40:14.430
81, 8.34, 4.99, 14.16, 19.26, 0.000, 0.000, 0.000, 12:40:14.444
82, 3.41, 37.71, 10.83, 15.64, 0.000, 0.000, 0.000, 12:40:14.444
83, 13.56, 2.49, 7.88, -13.67, 0.000, 0.000, 0.000, 12:40:14.446
84, 7.88, -12.45, 5.91, 5.45, 0.000, 0.000, 0.000, 12:40:14.446
85, -1.77, 40.24, 12.84, 25.16, 0.000, 0.000, 0.000, 12:40:14.474
86, 8.57, 20.60, 3.65, -11.76, 0.000, 0.000, 0.000, 12:40:14.474
87, 14.63, -12.96, 7.54, -0.93, 0.000, 0.000, 0.000, 12:40:14.475
88, 0.28, 26.81, 11.43, 25.90, 0.000, 0.000, 0.000, 12:40:14.475
89, 6.69, 35.15, 7.43, 2.51, 0.000, 0.000, 0.000, 12:40:14.476
90, 12.03, -12.06, 7.97, -10.28, 0.000, 0.000, 0.000, 12:40:14.476
91, 5.02, 8.00, 11.58, 20.83, 0.000, 0.000, 0.000, 12:40:14.490
92, 0.82, 38.88, 10.74, 19.06, 0.000, 0.000, 0.000, 12:40:14.490
93, 10.61, -3.25, 7.13, -13.18, 0.000, 0.000, 0.000, 12:40:14.504
94, 8.00, -13.13, 10.61, 12.11, 0.000, 0.000, 0.000, 12:40:14.504
95, 1.37, 36.28, 10.36, 22.90, 0.000, 0.000, 0.000, 12:40:14.506
96, 8.86, 19.00, 6.70, -8.59, 0.000, 0.000, 0.000, 12:40:14.506
97, 12.92, -14.03, 10.36, -1.53, 0.000, 0.000, 0.000, 12:40:14.520
98, 1.41, 20.69, 5.26, 25.40, 0.000, 0.000, 0.000, 12:40:14.520
